CodePoint String PositionChange
00000041 AAB <1085951,1085959c1083576,1083625
00000041 AAB >1085951,1085959c1083576,1083625
00000047 GB <4299661,4299668c4285281,4285300
00000047 GB >4299661,4299668c4285281,4285300
00000061 aaB <1085951,1085959c1083576,1083625
00000061 aaB >1085951,1085959c1083576,1083625
00000067 gB <4299661,4299668c4285281,4285300
00000067 gB >4299661,4299668c4285281,4285300
000000a0 B B <2650899,2651456c2640485,2642998
000000a0 B B >2650899,2651456c2640485,2642998
000000a0 B  B <2650899,2651456c2640485,2642998
000000a0 B  B >2650899,2651456c2640485,2642998
000000a0   <4305611,4305620c4295831,4305620
000000a0   >4305611,4305620c4295831,4305620
000000a0  B <4305611,4305620c4295831,4305620
000000a0  B >4305611,4305620c4295831,4305620
000000a0  BB <4305611,4305620c4295831,4305620
000000a0  BB >4305611,4305620c4295831,4305620
000000a0  D <4305611,4305620c4295831,4305620
000000a0  D >4305611,4305620c4295831,4305620
000000a0  DD <4305611,4305620c4295831,4305620
000000a0  DD >4305611,4305620c4295831,4305620
000000a0    <4305611,4305620c4295831,4305620
000000a0    >4305611,4305620c4295831,4305620
000000a0   B <4305611,4305620c4295831,4305620
000000a0   B >4305611,4305620c4295831,4305620
000000a0   BB <4305611,4305620c4295831,4305620
000000a0   BB >4305611,4305620c4295831,4305620
000000a0   D <4305611,4305620c4295831,4305620
000000a0   D >4305611,4305620c4295831,4305620
000000a0   DD <4305611,4305620c4295831,4305620
000000a0   DD >4305611,4305620c4295831,4305620
000000aa ªªB <1085951,1085959c1083576,1083625
000000aa ªªB >1085951,1085959c1083576,1083625
000000c0 ÀÀB <1085951,1085959c1083576,1083625
000000c0 ÀÀB >1085951,1085959c1083576,1083625
000000c1 ÁÁB <1085951,1085959c1083576,1083625
000000c1 ÁÁB >1085951,1085959c1083576,1083625
000000c2 ÂÂB <1085951,1085959c1083576,1083625
000000c2 ÂÂB >1085951,1085959c1083576,1083625
000000c3 ÃÃB <1085951,1085959c1083576,1083625
000000c3 ÃÃB >1085951,1085959c1083576,1083625
000000c4 ÄÄB <1085951,1085959c1083576,1083625
000000c4 ÄÄB >1085951,1085959c1083576,1083625
000000c5 ÅÅB <1085951,1085959c1083576,1083625
000000c5 ÅÅB >1085951,1085959c1083576,1083625
000000d0 DÐD <4256379d4238481
000000d0 DÐD >4256380a4238483
000000d0 DÐÐD <4256401d4238542
000000d0 DÐÐD >4256403c4238544
000000f0 DðD <4256382d4238484
000000f0 DðD >4256383a4238486
000000f0 DððD <4256403c4238544
000000f0 DððD >4256405c4238546
0000010e DĎD <4256385d4238487
0000010e DĎD >4256386a4238489
0000010e DĎĎD <4256405c4238546
0000010e DĎĎD >4256407c4238548
0000010f DďD <4256388d4238490
0000010f DďD >4256389a4238492
0000010f DďďD <4256407c4238548
0000010f DďďD >4256409c4238550
00000110 DĐD <4256391d4238493
00000110 DĐD >4256392a4238495
00000110 DĐĐD <4256409c4238550
00000110 DĐĐD >4256411c4238552
00000111 DđD <4256394d4238496
00000111 DđD >4256395a4238498
00000111 DđđD <4256411c4238552
00000111 DđđD >4256412a4238554,4238592
00000114 1B-ĔB >1042566a1036491,1036494
00000114 1BĔB >1042566a1036491,1036494
00000114 1B-ĔB <521505,521518d518642
00000114 1BĔB <521505,521518d518642
00000114 BĔB <1607625,1607652d1602644
00000114 BĔB >2649678a2638261,2638262
00000114 BĔĔB <1607625,1607652d1602644
00000114 BĔĔB >2649696a2638319,2638320
00000114 DĔD <3214373,3214400d3202995
00000114 DĔD >4256424a4238605,4238606
00000114 DĔĔD <3214373,3214400d3202995
00000114 DĔĔD >4256442a4238663,4238664
00000114 Ĕ <134,147d151
00000114 Ĕ >4299462a4284663,4284664
00000114 ĔB <1086257,1086270d1084290
00000114 ĔB >4299480a4284721,4284722
