CodePoint String PositionChange
00000f0b 1B-་B >1038702a1038351,1038524
00000f0b 1B་B >1038702a1038351,1038524
00000f0b 1B-་B <521871,521872d521730
00000f0b 1B་B <521871,521872d521730
00000f0b ་ <3373,3374d3376
00000f0b ་་ <3373,3374d3376
00000f0b ་ >4295830a4294961,4295830
00000f0b ་་ >4295830a4294961,4295830
00000f0b ་་B <1087509,1087510d1087494
00000f0b ་B <1087509,1087510d1087494
00000f0b ་་B >4295830a4294961,4295830
00000f0b ་B >4295830a4294961,4295830
00000f0b ་་BB <1609081,1609084d1608892
00000f0b ་BB <1609081,1609084d1608892
00000f0b B་་B <1609081,1609084d1608892
00000f0b B་B <1609081,1609084d1608892
00000f0b B་་B >2640484a2639869,2640042
00000f0b B་B >2640484a2639869,2640042
00000f0b ་་BB >4295830a4294961,4295830
00000f0b ་BB >4295830a4294961,4295830
00000f0b ་་D <2687750,2687751d2687307
00000f0b ་D <2687750,2687751d2687307
00000f0b ་་D >4295830a4294961,4295830
00000f0b ་D >4295830a4294961,4295830
00000f0b ་་DD <3209434,3209437d3208817
00000f0b ་DD <3209434,3209437d3208817
00000f0b D་་D <3209434,3209437d3208817
00000f0b D་D <3209434,3209437d3208817
00000f0b D་་D >4240888a4239845,4240018
00000f0b D་D >4240888a4239845,4240018
00000f0b ་་DD >4295830a4294961,4295830
00000f0b ་DD >4295830a4294961,4295830
00000f20 ༠ >149a152,153
00000f20 ༠༠ >19a20,21
00000f20 1B-༠B >518150a517971,517974
00000f20 1B༠B >518150a517971,517974
00000f20 1B-༠B <521913,521952c521771,521772
00000f20 1B༠B <521913,521952c521771,521772
00000f20 ༠ <3415,3454d3416
00000f20 ༠༠ <3415,3454d3416
00000f20 ༠༠B <1087551,1087590d1087534
00000f20 ༠B <1087551,1087590d1087534
00000f20 ༠༠B >517877a517668,517669
00000f20 ༠B >517957a517756,517757
00000f20 B༠༠B >1602019a1601792,1601793
00000f20 B༠B >1602039a1601814,1601815
00000f20 ༠༠BB <1609165,1609244d1608972
00000f20 ༠BB <1609165,1609244d1608972
00000f20 B༠༠B <1609165,1609244d1608972
00000f20 B༠B <1609165,1609244d1608972
00000f20 ༠༠BB >517897a517690,517691
00000f20 ༠BB >517977a517778,517779
00000f20 ༠༠D <2687792,2687831d2687347
00000f20 ༠D <2687792,2687831d2687347
00000f20 ༠༠D >517917a517712,517713
00000f20 ༠D >517997a517800,517801
00000f20 D༠༠D >3202264a3201609,3201610
00000f20 D༠D >3202284a3201631,3201632
00000f20 ༠༠DD <3209518,3209597d3208897
00000f20 ༠DD <3209518,3209597d3208897
00000f20 D༠༠D <3209518,3209597d3208897
00000f20 D༠D <3209518,3209597d3208897
00000f20 ༠༠DD >517937a517734,517735
00000f20 ༠DD >518017a517822,517823
00000f21 1B-༡B >518188a518013,518016
00000f21 1B༡B >518188a518013,518016
00000f21 1B-༡B <521913,521952c521771,521772
00000f21 1B༡B <521913,521952c521771,521772
00000f21 ༡ <3415,3454d3416
00000f21 ༡༡ <3415,3454d3416
00000f21 ༡ >518036a517843,517844
00000f21 ༡༡ >518050a517859,517860
00000f21 ༡༡B <1087551,1087590d1087534
00000f21 ༡B <1087551,1087590d1087534
00000f21 ༡༡B >518064a517875,517876
00000f21 ༡B >518120a517939,517940
00000f21 B༡༡B >1602058a1601835,1601836
00000f21 B༡B >1602072a1601851,1601852
00000f21 ༡༡BB <1609165,1609244d1608972
00000f21 ༡BB <1609165,1609244d1608972
00000f21 B༡༡B <1609165,1609244d1608972
00000f21 B༡B <1609165,1609244d1608972
00000f21 ༡༡BB >518078a517891,517892
00000f21 ༡BB >521913,521952c521771,521772
00000f21 ༡D >1082478a1082301,1082302
00000f21 ༡༡D <2687792,2687831d2687347
00000f21 ༡D <2687792,2687831d2687347
00000f21 ༡༡D >518092a517907,517908
00000f21 ༡DD >1082492a1082317,1082318
00000f21 D༡༡D >3202303a3201652,3201653
00000f21 D༡D >3202317a3201668,3201669
00000f21 ༡༡DD <3209518,3209597d3208897
00000f21 ༡DD <3209518,3209597d3208897
00000f21 D༡༡D <3209518,3209597d3208897
00000f21 D༡D <3209518,3209597d3208897
00000f21 ༡༡DD >518106a517923,517924
00000f22 ༢ >1082506a1082333,1082334
00000f22 ༢༢ >1082520a1082349,1082350
00000f22 1B-༢B >518216a518045,518048
00000f22 1B༢B >518216a518045,518048
00000f22 1B-༢B <521913,521952c521771,521772
00000f22 1B༢B <521913,521952c521771,521772
00000f22 ༢ <3415,3454d3416
00000f22 ༢༢ <3415,3454d3416
00000f22 ༢༢B >1082534a1082365,1082366
00000f22 ༢B >1082590a1082429,1082430
00000f22 ༢༢B <1087551,1087590d1087534
00000f22 ༢B <1087551,1087590d1087534
00000f22 ༢༢BB >1082548a1082381,1082382
00000f22 ༢BB >1082604a1082445,1082446
00000f22 B༢༢B >1602086a1601867,1601868
00000f22 B༢B >1602100a1601883,1601884
00000f22 ༢༢BB <1609165,1609244d1608972
00000f22 ༢BB <1609165,1609244d1608972
00000f22 B༢༢B <1609165,1609244d1608972
00000f22 B༢B <1609165,1609244d1608972
00000f22 ༢༢D >1082562a1082397,1082398
00000f22 ༢D >1082618a1082461,1082462
00000f22 ༢༢D <2687792,2687831d2687347
00000f22 ༢D <2687792,2687831d2687347
00000f22 ༢༢DD >1082576a1082413,1082414
00000f22 ༢DD >1082632a1082477,1082478
00000f22 D༢༢D >3202331a3201684,3201685
00000f22 D༢D >3202345a3201700,3201701
00000f22 ༢༢DD <3209518,3209597d3208897
00000f22 ༢DD <3209518,3209597d3208897
00000f22 D༢༢D <3209518,3209597d3208897
00000f22 D༢D <3209518,3209597d3208897
00000f23 ༣ >1082646a1082493,1082494
00000f23 ༣༣ >1082660a1082509,1082510
00000f23 1B-༣B >518244a518077,518080
00000f23 1B༣B >518244a518077,518080
00000f23 1B-༣B <521913,521952c521771,521772
00000f23 1B༣B <521913,521952c521771,521772
00000f23 ༣ <3415,3454d3416
00000f23 ༣༣ <3415,3454d3416
00000f23 ༣༣B >1082674a1082525,1082526
00000f23 ༣B >1082730a1082589,1082590
00000f23 ༣༣B <1087551,1087590d1087534
00000f23 ༣B <1087551,1087590d1087534
00000f23 ༣༣BB >1082688a1082541,1082542
00000f23 ༣BB >1082744a1082605,1082606
00000f23 B༣༣B >1602114a1601899,1601900
00000f23 B༣B >1602128a1601915,1601916
00000f23 ༣༣BB <1609165,1609244d1608972
00000f23 ༣BB <1609165,1609244d1608972
00000f23 B༣༣B <1609165,1609244d1608972
00000f23 B༣B <1609165,1609244d1608972
00000f23 ༣༣D >1082702a1082557,1082558
00000f23 ༣D >1082758a1082621,1082622
00000f23 ༣༣D <2687792,2687831d2687347
00000f23 ༣D <2687792,2687831d2687347
00000f23 ༣༣DD >1082716a1082573,1082574
00000f23 ༣DD >1082772a1082637,1082638
00000f23 D༣༣D >3202359a3201716,3201717
00000f23 D༣D >3202373a3201732,3201733
00000f23 ༣༣DD <3209518,3209597d3208897
00000f23 ༣DD <3209518,3209597d3208897
00000f23 D༣༣D <3209518,3209597d3208897
00000f23 D༣D <3209518,3209597d3208897
00000f24 ༤ >1082783a1082650,1082651
00000f24 ༤༤ >1082795a1082664,1082665
00000f24 1B-༤B >518266a518103,518106
00000f24 1B༤B >518266a518103,518106
00000f24 1B-༤B <521913,521952c521771,521772
00000f24 1B༤B <521913,521952c521771,521772
00000f24 ༤ <3415,3454d3416
00000f24 ༤༤ <3415,3454d3416
00000f24 ༤༤B >1082807a1082678,1082679
00000f24 ༤B >1082855a1082734,1082735
00000f24 ༤༤B <1087551,1087590d1087534
00000f24 ༤B <1087551,1087590d1087534
00000f24 ༤༤BB >1082819a1082692,1082693
00000f24 ༤BB >1082867a1082748,1082749
00000f24 B༤༤B >1602139a1601928,1601929
00000f24 B༤B >1602151a1601942,1601943
00000f24 ༤༤BB <1609165,1609244d1608972
00000f24 ༤BB <1609165,1609244d1608972
00000f24 B༤༤B <1609165,1609244d1608972
00000f24 B༤B <1609165,1609244d1608972
00000f24 ༤༤D >1082831a1082706,1082707
00000f24 ༤D >1082879a1082762,1082763
00000f24 ༤༤D <2687792,2687831d2687347
00000f24 ༤D <2687792,2687831d2687347
00000f24 ༤༤DD >1082843a1082720,1082721
00000f24 ༤DD >1082891a1082776,1082777
00000f24 D༤༤D >3202384a3201745,3201746
00000f24 D༤D >3202396a3201759,3201760
00000f24 ༤༤DD <3209518,3209597d3208897
00000f24 ༤DD <3209518,3209597d3208897
00000f24 D༤༤D <3209518,3209597d3208897
00000f24 D༤D <3209518,3209597d3208897
00000f25 ༥ >1082903a1082790,1082791
00000f25 ༥༥ >1082915a1082804,1082805
00000f25 1B-༥B >518290a518131,518134
00000f25 1B༥B >518290a518131,518134
00000f25 1B-༥B <521913,521952c521771,521772
00000f25 1B༥B <521913,521952c521771,521772
00000f25 ༥ <3415,3454d3416
00000f25 ༥༥ <3415,3454d3416
00000f25 ༥༥B >1082927a1082818,1082819
00000f25 ༥B >1082975a1082874,1082875
00000f25 ༥༥B <1087551,1087590d1087534
00000f25 ༥B <1087551,1087590d1087534
00000f25 ༥༥BB >1082939a1082832,1082833
00000f25 ༥BB >1082987a1082888,1082889
00000f25 B༥༥B >1602163a1601956,1601957
00000f25 B༥B >1602175a1601970,1601971
00000f25 ༥༥BB <1609165,1609244d1608972
00000f25 ༥BB <1609165,1609244d1608972
00000f25 B༥༥B <1609165,1609244d1608972
00000f25 B༥B <1609165,1609244d1608972
