CodePoint String PositionChange
00001569 BءءB <2074433d2074432
00001569 BءءB >2074434a2074434
00001569 DءءD <3674409d3674408
00001569 DءءD >3674410a3674410
00001574 BئئB <2074817,2074820d2074822
00001574 BئئB >2074824a2074830
00001574 DئئD <3674793,3674796d3674798
00001574 DئئD >3674800a3674806
00001576 BببB <2074461,2074464d2074460
00001576 BببB >2074468a2074468
00001576 DببD <3674437,3674440d3674436
00001576 DببD >3674444a3674444
00001577 BةةB <2074481,2074482d2074480
00001577 BةةB >2074484a2074484
00001577 DةةD <3674457,3674458d3674456
00001577 DةةD >3674460a3674460
00001578 BتتB <2074487,2074490d2074486
00001578 BتتB >2074494a2074494
00001578 DتتD <3674463,3674466d3674462
00001578 DتتD >3674470a3674470
00001579 BثثB <2074507,2074510d2074506
00001579 BثثB >2074514a2074514
00001579 DثثD <3674483,3674486d3674482
00001579 DثثD >3674490a3674490
00001580 BججB <2074517,2074520d2074516
00001580 BججB >2074524a2074524
00001580 DججD <3674493,3674496d3674492
00001580 DججD >3674500a3674500
00001581 BححB <2074537,2074540d2074536
00001581 BححB >2074544a2074544
00001581 DححD <3674513,3674516d3674512
00001581 DححD >3674520a3674520
00001582 BخخB <2074547,2074550d2074546
00001582 BخخB >2074554a2074554
00001582 DخخD <3674523,3674526d3674522
00001582 DخخD >3674530a3674530
00001583 BددB <2074557,2074558d2074556
00001583 BددB >2074560a2074560
00001583 DددD <3674533,3674534d3674532
00001583 DددD >3674536a3674536
00001584 BذذB <2074569,2074570d2074568
00001584 BذذB >2074572a2074572
00001584 DذذD <3674545,3674546d3674544
00001584 DذذD >3674548a3674548
00001585 BررB <2074575,2074576d2074574
00001585 BررB >2074578a2074578
00001585 DررD <3674551,3674552d3674550
00001585 DررD >3674554a3674554
00001586 BززB <2074587,2074588d2074586
00001586 BززB >2074590a2074590
00001586 DززD <3674563,3674564d3674562
00001586 DززD >3674566a3674566
00001587 BسسB <2074599,2074602d2074598
00001587 BسسB >2074606a2074606
00001587 DسسD <3674575,3674578d3674574
00001587 DسسD >3674582a3674582
00001588 BششB <2074609,2074612d2074608
00001588 BششB >2074616a2074616
00001588 DششD <3674585,3674588d3674584
00001588 DششD >3674592a3674592
00001589 BصصB <2074619,2074622d2074618
00001589 BصصB >2074626a2074626
00001589 DصصD <3674595,3674598d3674594
00001589 DصصD >3674602a3674602
00001590 BضضB <2074629,2074632d2074628
00001590 BضضB >2074636a2074636
00001590 DضضD <3674605,3674608d3674604
00001590 DضضD >3674612a3674612
00001591 BططB <2074639,2074642d2074638
00001591 BططB >2074646a2074646
00001591 DططD <3674615,3674618d3674614
00001591 DططD >3674622a3674622
00001592 BظظB <2074649,2074652d2074648
00001592 BظظB >2074656a2074656
00001592 DظظD <3674625,3674628d3674624
00001592 DظظD >3674632a3674632
00001593 BععB <2074659,2074662d2074658
00001593 BععB >2074666a2074666
00001593 DععD <3674635,3674638d3674634
00001593 DععD >3674642a3674642
00001594 BغغB <2074669,2074672d2074668
00001594 BغغB >2074676a2074676
00001594 DغغD <3674645,3674648d3674644
00001594 DغغD >3674652a3674652
00001601 BففB <2074679,2074682d2074678
00001601 BففB >2074686a2074686
00001601 DففD <3674655,3674658d3674654
00001601 DففD >3674662a3674662
00001602 BققB <2074689,2074692d2074688
00001602 BققB >2074696a2074696
00001602 DققD <3674665,3674668d3674664
00001602 DققD >3674672a3674672
00001603 BككB <2074699,2074702d2074698
00001603 BككB >2074706a2074706
00001603 DككD <3674675,3674678d3674674
00001603 DككD >3674682a3674682
00001605 BممB <2074755,2074758d2074754
00001605 BممB >2074762a2074762
00001605 DممD <3674731,3674734d3674730
00001605 DممD >3674738a3674738
00001606 BننB <2074765,2074768d2074764
00001606 BننB >2074772a2074772
00001606 DننD <3674741,3674744d3674740
00001606 DننD >3674748a3674748
00001607 BههB <2074781,2074784d2074780
00001607 BههB >2074788a2074788
00001607 DههD <3674757,3674760d3674756
00001607 DههD >3674764a3674764
00001657 BٹٹB <2074497,2074500d2074496
00001657 BٹٹB >2074504a2074504
00001657 DٹٹD <3674473,3674476d3674472
00001657 DٹٹD >3674480a3674480
00001662 BپپB <2074471,2074474d2074470
00001662 BپپB >2074478a2074478
00001662 DپپD <3674447,3674450d3674446
00001662 DپپD >3674454a3674454
00001670 BچچB <2074527,2074530d2074526
00001670 BچچB >2074534a2074534
00001670 DچچD <3674503,3674506d3674502
00001670 DچچD >3674510a3674510
00001672 BڈڈB <2074563,2074564d2074562
00001672 BڈڈB >2074566a2074566
00001672 DڈڈD <3674539,3674540d3674538
00001672 DڈڈD >3674542a3674542
00001681 BڑڑB <2074581,2074582d2074580
00001681 BڑڑB >2074584a2074584
00001681 DڑڑD <3674557,3674558d3674556
00001681 DڑڑD >3674560a3674560
00001688 BژژB <2074593,2074594d2074592
00001688 BژژB >2074596a2074596
00001688 DژژD <3674569,3674570d3674568
00001688 DژژD >3674572a3674572
00001705 BککB <2074709,2074712d2074708
00001705 BککB >2074716a2074716
00001705 DککD <3674685,3674688d3674684
00001705 DککD >3674692a3674692
00001711 BگگB <2074719,2074722d2074718
00001711 BگگB >2074726a2074726
00001711 DگگD <3674695,3674698d3674694
00001711 DگگD >3674702a3674702
00001722 BںںB <2074775,2074776d2074774
00001722 BںںB >2074778a2074778
00001722 DںںD <3674751,3674752d3674750
00001722 DںںD >3674754a3674754
00001728 BۀۀB <2074791,2074792d2074790
00001728 BۀۀB >2074794a2074794
00001728 DۀۀD <3674767,3674768d3674766
00001728 DۀۀD >3674770a3674770
00002546 ৲ <2643d2642
00002546 ৲ >2645c2644
00002547 ৳ <2645c2644
00002547 ৳ >2646a2646
00004343 ჷ <3627d3626
00004343 ჷ >3629c3628
00004344 ჸ <3629c3628
00004344 ჸ >3631c3630
00004345 ჹ <3631c3630
00004345 ჹ >3633c3632
00004346 ჺ <3633c3632
00004346 ჺ >3635c3634
00004347 ჻ <3635c3634
00004347 ჻ >3637c3636
00004348 ჼ <3637c3636
00004348 ჼ >3638a3638
00064342 ﭖﭖ >3725282a3725283
00064342 ﭖﭖ <3725307,3725310d3725326
00064342 ﭖﭖB >3725287a3725292
00064342 ﭖﭖB <3725312,3725315d3725327
00064342 ﭖﭖBB >3725292a3725301
00064342 ﭖﭖBB <3725317,3725320d3725328
00064342 ﭖﭖD >3725297a3725310
00064342 ﭖﭖD <3725322,3725325d3725329
00064342 ﭖﭖDD >3725302a3725319
00064342 ﭖﭖDD <3725327,3725330d3725330
00064343 BﭗB <2074471,2074474d2074470
00064343 BﭗB >2074475a2074472
