
# CodePoint UnicodeBlock PatternID String PositionChange
000030 0000 S-335 00様 -10094131,12+10094124,19
000030 0000 S-355 様00 -23157623,10+23157623,10
000030 0000 S-405 00様様 -10094155,10+10094155,10
000030 0000 S-415 様00様 -23157645,10+23157645,10
000030 0000 S-425 様様00 -24748813,10+24748813,10
000031 0000 S-335 11様 -10095177,10+10095177,10
000031 0000 S-355 様11 -23157705,10+23157705,10
000031 0000 S-405 11様様 -10095193,10+10095193,10
000031 0000 S-415 様11様 -23157721,10+23157721,10
000031 0000 S-425 様様11 -24748851,10+24748851,10
000032 0000 S-335 22様 -10096137,10+10096137,10
000032 0000 S-355 様22 -23157769,10+23157769,10
000032 0000 S-405 22様様 -10096153,10+10096153,10
000032 0000 S-415 様22様 -23157785,10+23157785,10
000032 0000 S-425 様様22 -24748883,10+24748883,10
000033 0000 S-415 様33様 -23157851,10+23157851,10
000034 0000 S-335 44様 -14472445,10+14472445,10
000034 0000 S-355 様44 -23157898,10+23157898,10
000034 0000 S-405 44様様 -14472459,10+14472459,10
000034 0000 S-415 様44様 -23157912,10+23157912,10
000034 0000 S-425 様様44 -24748948,10+24748948,10
000035 0000 S-335 55様 -14473285,10+14473285,10
000035 0000 S-355 様55 -23157954,10+23157954,10
000035 0000 S-405 55様様 -14473299,10+14473299,10
000035 0000 S-415 様55様 -23157968,10+23157968,10
000035 0000 S-425 様様55 -24748976,10+24748976,10
000036 0000 S-335 66様 -14474125,10+14474125,10
000036 0000 S-355 様66 -23158010,10+23158010,10
000036 0000 S-405 66様様 -14474139,10+14474139,10
000036 0000 S-415 様66様 -23158024,10+23158024,10
000036 0000 S-425 様様66 -24749004,10+24749004,10
000037 0000 S-335 77様 -14474965,10+14474965,10
000037 0000 S-355 様77 -23158066,10+23158066,10
000037 0000 S-405 77様様 -14474979,10+14474979,10
000037 0000 S-415 様77様 -23158080,10+23158080,10
000037 0000 S-425 様様77 -24749032,10+24749032,10
000038 0000 S-335 88様 -14475805,10+14475805,10
000038 0000 S-355 様88 -23158122,10+23158122,10
000038 0000 S-405 88様様 -14475819,10+14475819,10
000038 0000 S-415 様88様 -23158136,10+23158136,10
000038 0000 S-425 様様88 -24749060,10+24749060,10
000039 0000 S-335 99様 -14476645,10+14476645,10
000039 0000 S-355 様99 -23158178,10+23158178,10
000039 0000 S-405 99様様 -14476659,10+14476659,10
000039 0000 S-415 様99様 -23158192,10+23158192,10
000039 0000 S-425 様様99 -24749088,10+24749088,10
000042 0000 S-402 BB33 -18105643,47+18105644,30
000062 0000 S-312 3b3 -13768215,16+13768215,16
000062 0000 S-402 bb33 -18105643,47+18105644,30
000062 0000 S-584 bb.33 -18105643,47+18105644,30
0000b2 0080 S-335 ²²様 -10096137,10+10096137,10
0000b2 0080 S-355 様²² -23157769,10+23157769,10
0000b2 0080 S-405 ²²様様 -10096153,10+10096153,10
0000b2 0080 S-415 様²²様 -23157785,10+23157785,10
0000b2 0080 S-425 様様²² -24748883,10+24748883,10
0000b3 0080 S-415 様³³様 -23157851,10+23157851,10
0000b9 0080 S-335 ¹¹様 -10095177,10+10095177,10
0000b9 0080 S-355 様¹¹ -23157705,10+23157705,10
0000b9 0080 S-405 ¹¹様様 -10095193,10+10095193,10
0000b9 0080 S-415 様¹¹様 -23157721,10+23157721,10
0000b9 0080 S-425 様様¹¹ -24748851,10+24748851,10
0000ba 0080 S-201 ºO -21181218,125+21181202,141:-21182815,9+21182815,9
0000ba 0080 S-211 Oº -21181218,125+21181202,141:-21182815,9+21182815,9
0000ba 0080 S-301 ºOO -21184296,261+21184296,12:-21184823,15+21184823,15
0000ba 0080 S-311 OºO -21184296,261+21184296,12:-21184811,6+21184521,296
0000ba 0080 S-321 OOº -21184787,18+21184370,145:-21184823,15+21184823,15
