
# Filtering out patterns with more than 20,000 distinct codepoints to preserve version control sanity.
#   Exceptions:
#   - full data for Basic Latin and Latin-1 Supplement blocks, aka ASCII & ISO-8859-1
#   - full data for pattern S-199, aka single-character strings
# 
# Filtered Pattern ID (total count of distinct codepoints in diff output), Pattern ID (codepoints), etc:
#   S-326 (22282x), S-585 (22435x), S-423 (22461x), S-426 (22432x), S-323 (22311x), S-324 (22311x), S-424 (22461x), S-583 (22283x), S-481 (22279x), S-420 (22406x) 

# CodePoint UnicodeBlock PatternID String PositionChange
000020 0000 S-315 様 様 -23713557,258028+23713557,38764
000020 0000 S-405   様様 -23195960,258033+23195960,38768
000021 0000 S-335 !!様 -21863564,258201+21863564,38935
000021 0000 S-405 !!様様 -23195960,258033+23195960,38768
000021 0000 S-415 様!!様 -23713557,258028+23713557,38764
000022 0000 S-335 ""様 -21863564,258201+21863564,38935
000022 0000 S-405 ""様様 -23195960,258033+23195960,38768
000022 0000 S-415 様""様 -23713557,258028+23713557,38764
000023 0000 S-335 ##様 -21863564,258201+21863564,38935
000023 0000 S-405 ##様様 -23195960,258033+23195960,38768
000023 0000 S-415 様##様 -23713557,258028+23713557,38764
000024 0000 S-335 $$様 -21863564,258201+21863564,38935
000024 0000 S-405 $$様様 -23195960,258033+23195960,38768
000024 0000 S-415 様$$様 -23713557,258028+23713557,38764
000025 0000 S-335 %%様 -21863564,258201+21863564,38935
000025 0000 S-405 %%様様 -23195960,258033+23195960,38768
000025 0000 S-415 様%%様 -23713557,258028+23713557,38764
000026 0000 S-335 &&様 -21863564,258201+21863564,38935
000026 0000 S-405 &&様様 -23195960,258033+23195960,38768
000026 0000 S-415 様&&様 -23713557,258028+23713557,38764
000027 0000 S-335 ''様 -21863564,258201+21863564,38935
000027 0000 S-405 ''様様 -23195960,258033+23195960,38768
000027 0000 S-415 様''様 -23713557,258028+23713557,38764
000028 0000 S-335 ((様 -21863564,258201+21863564,38935
000028 0000 S-405 ((様様 -23195960,258033+23195960,38768
000028 0000 S-415 様((様 -23713557,258028+23713557,38764
000029 0000 S-335 ))様 -21863564,258201+21863564,38935
000029 0000 S-405 ))様様 -23195960,258033+23195960,38768
