
# CodePoint UnicodeBlock PatternID String PositionChange
000d37 0D00 S-199 ഷ -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-200 ഷB -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-201 ഷO -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-202 ഷ3 -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-203 ഷ. -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-204 ഷ  -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-205 ഷ様 -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-206 ഷク -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-210 Bഷ -18230359,26+18230047,34
000d37 0D00 S-211 Oഷ -21237622,26+21237280,34
000d37 0D00 S-212 3ഷ -14387116,26+14386834,34
000d37 0D00 S-213 .ഷ -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-214  ഷ -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-215 様ഷ -23166189,26+23166201,34
000d37 0D00 S-216 クഷ -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-299 ഷഷ -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-300 ഷBB -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-301 ഷOO -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-302 ഷ33 -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-303 ഷ.. -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-304 ഷ   -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-305 ഷ様様 -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-306 ഷクク -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-310 BഷB -18230359,26+18230047,34
000d37 0D00 S-311 OഷO -21237622,26+21237280,34
000d37 0D00 S-312 3ഷ3 -14387116,26+14386834,34
000d37 0D00 S-313 .ഷ. -21417223,66+21417193,6:-21417343,6+21417253,66
