CodePoint Character PositionChange
00001376 0ՠՠՠՠ0 <220541,220543d220475
00001376 0ՠՠՠՠ0 >221837a221767
00001416 0ֈֈֈֈ0 <220541,220543d220475
00001416 0ֈֈֈֈ0 >221876a221807
00001519 0ׯׯׯׯ0 <220541,220543d220475
00001519 0ׯׯׯׯ0 >221962a221894
00002045 0߽߽߽߽0 <220545,220547d220476
00002045 0߽߽߽߽0 >222453a222386,222387
00002046 0߾߾߾߾0 <220545,220547d220476
00002046 0߾߾߾߾0 >222453a222386,222387
00002047 0߿߿߿߿0 <220545,220547d220476
00002047 0߿߿߿߿0 >282152a282152
00002259 0࣓࣓࣓࣓0 <220273,220275d220272
00002259 0࣓࣓࣓࣓0 >222572a222507
00002558 0৾৾৾৾0 <220273,220275d220272
00002558 0৾৾৾৾0 >222837a222773
00002678 0੶੶੶੶0 <220273,220275d220272
00002678 0੶੶੶੶0 >222916a222853
00003076 0ఄఄఄఄ0 <220277d220273
00003076 0ఄఄఄఄ0 >223172a223110
00003204 0಄಄಄಄0 <220281d220276
00003204 0಄಄಄಄0 >223267a223206
00006264 0ᡸᡸᡸᡸ0 <220304d220298
00006264 0ᡸᡸᡸᡸ0 >225964a225904
00011194 0⮺⮺⮺⮺0 <220374,220376d220367
00011194 0⮺⮺⮺⮺0 >230514a230455,230457
00011195 0⮻⮻⮻⮻0 <220374,220376d220367
00011195 0⮻⮻⮻⮻0 >230514a230455,230457
00011196 0⮼⮼⮼⮼0 <220374,220376d220367
00011196 0⮼⮼⮼⮼0 >230514a230455,230457
00011219 0⯓⯓⯓⯓0 <220378,220417d220368
00011219 0⯓⯓⯓⯓0 >230535a230479,230503
00011220 0⯔⯔⯔⯔0 <220378,220417d220368
00011220 0⯔⯔⯔⯔0 >230535a230479,230503
00011221 0⯕⯕⯕⯕0 <220378,220417d220368
00011221 0⯕⯕⯕⯕0 >230535a230479,230503
00011222 0⯖⯖⯖⯖0 <220378,220417d220368
00011222 0⯖⯖⯖⯖0 >230535a230479,230503
00011223 0⯗⯗⯗⯗0 <220378,220417d220368
00011223 0⯗⯗⯗⯗0 >230535a230479,230503
00011224 0⯘⯘⯘⯘0 <220378,220417d220368
00011224 0⯘⯘⯘⯘0 >230535a230479,230503
00011225 0⯙⯙⯙⯙0 <220378,220417d220368
00011225 0⯙⯙⯙⯙0 >230535a230479,230503
00011226 0⯚⯚⯚⯚0 <220378,220417d220368
00011226 0⯚⯚⯚⯚0 >230535a230479,230503
00011227 0⯛⯛⯛⯛0 <220378,220417d220368
00011227 0⯛⯛⯛⯛0 >230535a230479,230503
00011228 0⯜⯜⯜⯜0 <220378,220417d220368
00011228 0⯜⯜⯜⯜0 >230535a230479,230503
00011229 0⯝⯝⯝⯝0 <220378,220417d220368
00011229 0⯝⯝⯝⯝0 >230535a230479,230503
00011230 0⯞⯞⯞⯞0 <220378,220417d220368
00011230 0⯞⯞⯞⯞0 >230535a230479,230503
00011231 0⯟⯟⯟⯟0 <220378,220417d220368
00011231 0⯟⯟⯟⯟0 >230535a230479,230503
00011232 0⯠⯠⯠⯠0 <220378,220417d220368
00011232 0⯠⯠⯠⯠0 >230535a230479,230503
00011233 0⯡⯡⯡⯡0 <220378,220417d220368
00011233 0⯡⯡⯡⯡0 >230535a230479,230503
00011234 0⯢⯢⯢⯢0 <220378,220417d220368
00011234 0⯢⯢⯢⯢0 >230535a230479,230503
00011235 0⯣⯣⯣⯣0 <220378,220417d220368
00011235 0⯣⯣⯣⯣0 >230535a230479,230503
00011236 0⯤⯤⯤⯤0 <220378,220417d220368
00011236 0⯤⯤⯤⯤0 >230535a230479,230503
00011237 0⯥⯥⯥⯥0 <220378,220417d220368
00011237 0⯥⯥⯥⯥0 >230535a230479,230503
00011238 0⯦⯦⯦⯦0 <220378,220417d220368
00011238 0⯦⯦⯦⯦0 >230535a230479,230503
00011239 0⯧⯧⯧⯧0 <220378,220417d220368
00011239 0⯧⯧⯧⯧0 >230535a230479,230503
00011240 0⯨⯨⯨⯨0 <220378,220417d220368
00011240 0⯨⯨⯨⯨0 >230535a230479,230503
00011241 0⯩⯩⯩⯩0 <220378,220417d220368
00011241 0⯩⯩⯩⯩0 >230535a230479,230503
00011242 0⯪⯪⯪⯪0 <220378,220417d220368
00011242 0⯪⯪⯪⯪0 >230535a230479,230503
00011243 0⯫⯫⯫⯫0 <220378,220417d220368
00011243 0⯫⯫⯫⯫0 >230535a230479,230503
00011248 0⯰⯰⯰⯰0 <220378,220417d220368
00011248 0⯰⯰⯰⯰0 >230539a230508,230522
00011249 0⯱⯱⯱⯱0 <220378,220417d220368
00011249 0⯱⯱⯱⯱0 >230539a230508,230522
00011250 0⯲⯲⯲⯲0 <220378,220417d220368
00011250 0⯲⯲⯲⯲0 >230539a230508,230522
00011251 0⯳⯳⯳⯳0 <220378,220417d220368
00011251 0⯳⯳⯳⯳0 >230539a230508,230522
00011252 0⯴⯴⯴⯴0 <220378,220417d220368
00011252 0⯴⯴⯴⯴0 >230539a230508,230522
00011253 0⯵⯵⯵⯵0 <220378,220417d220368
00011253 0⯵⯵⯵⯵0 >230539a230508,230522
00011254 0⯶⯶⯶⯶0 <220378,220417d220368
00011254 0⯶⯶⯶⯶0 >230539a230508,230522
00011255 0⯷⯷⯷⯷0 <220378,220417d220368
00011255 0⯷⯷⯷⯷0 >230539a230508,230522
00011256 0⯸⯸⯸⯸0 <220378,220417d220368
00011256 0⯸⯸⯸⯸0 >230539a230508,230522
00011257 0⯹⯹⯹⯹0 <220378,220417d220368
00011257 0⯹⯹⯹⯹0 >230539a230508,230522
00011258 0⯺⯺⯺⯺0 <220378,220417d220368
00011258 0⯺⯺⯺⯺0 >230539a230508,230522
00011259 0⯻⯻⯻⯻0 <220378,220417d220368
00011259 0⯻⯻⯻⯻0 >230539a230508,230522
00011260 0⯼⯼⯼⯼0 <220378,220417d220368
00011260 0⯼⯼⯼⯼0 >230539a230508,230522
00011261 0⯽⯽⯽⯽0 <220378,220417d220368
00011261 0⯽⯽⯽⯽0 >230539a230508,230522
00011262 0⯾⯾⯾⯾0 <220378,220417d220368
00011262 0⯾⯾⯾⯾0 >230539a230508,230522
00011850 0⹊⹊⹊⹊0 <220421,220425d220371
00011850 0⹊⹊⹊⹊0 >231068a231052,231056
00011851 0⹋⹋⹋⹋0 <220421,220425d220371
00011851 0⹋⹋⹋⹋0 >231068a231052,231056
00011852 0⹌⹌⹌⹌0 <220421,220425d220371
00011852 0⹌⹌⹌⹌0 >231068a231052,231056
00011853 0⹍⹍⹍⹍0 <220421,220425d220371
00011853 0⹍⹍⹍⹍0 >231068a231052,231056
00011854 0⹎⹎⹎⹎0 <220421,220425d220371
00011854 0⹎⹎⹎⹎0 >231068a231052,231056
00012591 0ㄯㄯㄯㄯ0 <220441d220386
00012591 0ㄯㄯㄯㄯ0 >282107a282106
00040939 0鿫鿫鿫鿫0 <220458,220462d220402
00040939 0鿫鿫鿫鿫0 >260013a260002,260006
00040940 0鿬鿬鿬鿬0 <220458,220462d220402
00040940 0鿬鿬鿬鿬0 >260013a260002,260006
00040941 0鿭鿭鿭鿭0 <220458,220462d220402
00040941 0鿭鿭鿭鿭0 >260013a260002,260006
00040942 0鿮鿮鿮鿮0 <220458,220462d220402
00040942 0鿮鿮鿮鿮0 >260013a260002,260006
00040943 0鿯鿯鿯鿯0 <220458,220462d220402
00040943 0鿯鿯鿯鿯0 >260013a260002,260006
00042927 0ꞯꞯꞯꞯ0 <220479,220481d220418
