CodePoint Character PositionChange
00001569 0ءءءء0 >---
00001569 0ءءءء0 <259644d259643
00001570 0آآآآ0 >---
00001570 0آآآآ0 <259646,259649c259645
00001571 0أأأأ0 >---
00001571 0أأأأ0 <259646,259649c259645
00001572 0ؤؤؤؤ0 >---
00001572 0ؤؤؤؤ0 <259826,259827c259825
00001573 0إإإإ0 >---
00001573 0إإإإ0 <259646,259649c259645
00001574 0ئئئئ0 >---
00001574 0ئئئئ0 <259832c259830,259831
00001575 0اااا0 >---
00001575 0اااا0 <259646,259649c259645
00001576 0بببب0 >---
00001576 0بببب0 <259658c259654,259657
00001577 0ةةةة0 >---
00001577 0ةةةة0 <259668c259667
00001578 0تتتت0 >---
00001578 0تتتت0 <259671c259670
00001579 0ثثثث0 >---
00001579 0ثثثث0 <259681c259680
00001580 0جججج0 >---
00001580 0جججج0 <259686c259685
00001581 0حححح0 >---
00001581 0حححح0 <259696c259695
00001582 0خخخخ0 >---
00001582 0خخخخ0 <259701c259700
00001583 0دددد0 >---
00001583 0دددد0 <259706c259705
00001584 0ذذذذ0 >---
00001584 0ذذذذ0 <259712c259711
00001585 0رررر0 >---
00001585 0رررر0 <259715c259714
00001586 0زززز0 >---
00001586 0زززز0 <259721c259720
00001587 0سسسس0 >---
00001587 0سسسس0 <259727c259726
00001588 0شششش0 >---
00001588 0شششش0 <259732c259731
00001589 0صصصص0 >---
00001589 0صصصص0 <259737c259736
00001590 0ضضضض0 >---
00001590 0ضضضض0 <259742c259741
00001591 0طططط0 >---
00001591 0طططط0 <259747c259746
00001592 0ظظظظ0 >---
00001592 0ظظظظ0 <259752c259751
00001593 0عععع0 >---
00001593 0عععع0 <259757c259756
00001594 0غغغغ0 >---
00001594 0غغغغ0 <259762c259761
00001601 0فففف0 >---
00001601 0فففف0 <259767c259766
00001602 0قققق0 >---
00001602 0قققق0 <259772c259771
00001603 0كككك0 >---
00001603 0كككك0 <259777c259776
00001604 0لللل0 >---
00001604 0لللل0 <259800d259799
00001605 0مممم0 >---
00001605 0مممم0 <259805c259804
00001606 0نننن0 >---
00001606 0نننن0 <259810c259809
00001607 0هههه0 >---
00001607 0هههه0 <259818c259817
00001608 0وووو0 >---
00001608 0وووو0 <259826,259827c259825
00001609 0ىىىى0 >---
00001609 0ىىىى0 <259837,259838c259836
00001610 0يييي0 >---
00001610 0يييي0 <259837,259838c259836
00001657 0ٹٹٹٹ0 >---
00001657 0ٹٹٹٹ0 <259676c259675
00001662 0پپپپ0 >---
00001662 0پپپپ0 <259663c259662
00001670 0چچچچ0 >---
00001670 0چچچچ0 <259691c259690
00001672 0ڈڈڈڈ0 >---
00001672 0ڈڈڈڈ0 <259709c259708
00001681 0ڑڑڑڑ0 >---
00001681 0ڑڑڑڑ0 <259718c259717
00001688 0ژژژژ0 >---
00001688 0ژژژژ0 <259724c259723
00001705 0کککک0 >---
00001705 0کککک0 <259782c259781
00001711 0گگگگ0 <259787c259786
00001711 0گگگگ0 >259791a259791
00001722 0ںںںں0 >---
00001722 0ںںںں0 <259815c259814
00001728 0ۀۀۀۀ0 >---
00001728 0ۀۀۀۀ0 <259823c259822
00001746 0ےےےے0 <259845,259846c259843,259844
00001746 0ےےےے0 >259850a259849,259850
00001747 0ۓۓۓۓ0 <259845,259846c259843,259844
00001747 0ۓۓۓۓ0 >259850a259849,259850
