CodePoint Character PositionChange
00000255 0ÿÿÿÿ0 <282080,282165d282165
00000255 0ÿÿÿÿ0 >220574a220575
00000383 0ſſſſ0 <282080,282165d282165
00000383 0ſſſſ0 >220701a220703
00000591 0ɏɏɏɏ0 <282080,282165d282165
00000591 0ɏɏɏɏ0 >220908a220911
00000687 0ʯʯʯʯ0 <282080,282165d282165
00000687 0ʯʯʯʯ0 >221003a221007
00000767 0˿˿˿˿0 <282080,282165d282165
00000767 0˿˿˿˿0 >221082a221087
00000879 0ͯͯͯͯ0 <282080,282165d282165
00000879 0ͯͯͯͯ0 >221193a221199
00001023 0ϿϿϿϿ0 <282080,282165d282165
00001023 0ϿϿϿϿ0 >221327a221334
00001279 0ӿӿӿӿ0 <282080,282165d282165
00001279 0ӿӿӿӿ0 >221582a221590
00001327 0ԯԯԯԯ0 <282080,282165d282165
00001327 0ԯԯԯԯ0 >221629a221638
00001423 0֏֏֏֏0 <282080,282165d282165
00001423 0֏֏֏֏0 >221719a221729
00001791 0ۿۿۿۿ0 <282080,282165d282165
00001791 0ۿۿۿۿ0 >222061a222072
00001871 0ݏݏݏݏ0 <282080,282165d282165
00001871 0ݏݏݏݏ0 >222137a222149
00001919 0ݿݿݿݿ0 <282080,282165d282165
00001919 0ݿݿݿݿ0 >222184a222197
00002047 0߿߿߿߿0 <282080,282165d282165
00002047 0߿߿߿߿0 >222295a222309
00002303 0ࣿࣿࣿࣿ0 <282080,282165d282165
00002303 0ࣿࣿࣿࣿ0 >222468a222483
00002431 0ॿॿॿॿ0 <282080,282165d282165
00002431 0ॿॿॿॿ0 >222595a222611
00002815 0૿૿૿૿0 <282080,282165d282165
00002815 0૿૿૿૿0 >222861a222878
00003199 0౿౿౿౿0 <282080,282165d282165
00003199 0౿౿౿౿0 >223121a223139
00003455 0ൿൿൿൿ0 <282080,282165d282165
00003455 0ൿൿൿൿ0 >223327a223346
00004255 0႟႟႟႟0 <282080,282165d282165
00004255 0႟႟႟႟0 >223957a223977
00004351 0ჿჿჿჿ0 <282080,282165d282165
00004351 0ჿჿჿჿ0 >224044a224065
00004607 0ᇿᇿᇿᇿ0 <282080,282165d282165
00004607 0ᇿᇿᇿᇿ0 >224299a224321
00005759 0ᙿᙿᙿᙿ0 <282080,282165d282165
00005759 0ᙿᙿᙿᙿ0 >225414a225437
00006479 0᥏᥏᥏᥏0 <282080,282165d282165
00006479 0᥏᥏᥏᥏0 >226021a226045
00006623 0᧟᧟᧟᧟0 <282080,282165d282165
00006623 0᧟᧟᧟᧟0 >226138a226163
00006655 0᧿᧿᧿᧿0 <282080,282165d282165
00006655 0᧿᧿᧿᧿0 >226169a226195
00006687 0᨟᨟᨟᨟0 <282080,282165d282165
00006687 0᨟᨟᨟᨟0 >226198a226225
00007103 0ᮿᮿᮿᮿ0 <282080,282165d282165
00007103 0ᮿᮿᮿᮿ0 >226526a226554
00007167 0᯿᯿᯿᯿0 <282080,282165d282165
00007167 0᯿᯿᯿᯿0 >226581a226610
00007247 0ᱏᱏᱏᱏ0 <282080,282165d282165
00007247 0ᱏᱏᱏᱏ0 >226654a226684
00007295 0᱿᱿᱿᱿0 <282080,282165d282165
00007295 0᱿᱿᱿᱿0 >226701a226732
00007551 0ᵿᵿᵿᵿ0 <282080,282165d282165
00007551 0ᵿᵿᵿᵿ0 >226888a226920
00007615 0ᶿᶿᶿᶿ0 <282080,282165d282165
00007615 0ᶿᶿᶿᶿ0 >226951a226984
00007679 0᷿᷿᷿᷿0 <282080,282165d282165
00007679 0᷿᷿᷿᷿0 >227013a227047
00007935 0ỿỿỿỿ0 <282080,282165d282165
00007935 0ỿỿỿỿ0 >227268a227303
00008303 0⁯⁯⁯⁯0 <282080,282165d282165
00008303 0⁯⁯⁯⁯0 >227611a227647
00008527 0⅏⅏⅏⅏0 <282080,282165d282165
00008527 0⅏⅏⅏⅏0 >227797a227834
00008703 0⇿⇿⇿⇿0 <282080,282165d282165
00008703 0⇿⇿⇿⇿0 >227968a228006
00008959 0⋿⋿⋿⋿0 <282080,282165d282165
00008959 0⋿⋿⋿⋿0 >228223a228262
00009215 0⏿⏿⏿⏿0 <282080,282165d282165
00009215 0⏿⏿⏿⏿0 >228478a228518
00009471 0⓿⓿⓿⓿0 <282080,282165d282165
00009471 0⓿⓿⓿⓿0 >228687a228728
00009599 0╿╿╿╿0 <282080,282165d282165
00009599 0╿╿╿╿0 >228814a228856
00009631 0▟▟▟▟0 <282080,282165d282165
00009631 0▟▟▟▟0 >228845a228888
00009727 0◿◿◿◿0 <282080,282165d282165
00009727 0◿◿◿◿0 >228940a228984
00009983 0⛿⛿⛿⛿0 <282080,282165d282165
00009983 0⛿⛿⛿⛿0 >229195a229240
00010175 0➿➿➿➿0 <282080,282165d282165
00010175 0➿➿➿➿0 >229386a229432
00010223 0⟯⟯⟯⟯0 <282080,282165d282165
00010223 0⟯⟯⟯⟯0 >229433a229480
00010239 0⟿⟿⟿⟿0 <282080,282165d282165
00010239 0⟿⟿⟿⟿0 >229448a229496
00010495 0⣿⣿⣿⣿0 <282080,282165d282165
00010495 0⣿⣿⣿⣿0 >229703a229752
00010623 0⥿⥿⥿⥿0 <282080,282165d282165
00010623 0⥿⥿⥿⥿0 >229830a229880
00010751 0⧿⧿⧿⧿0 <282080,282165d282165
00010751 0⧿⧿⧿⧿0 >229957a230008
00011007 0⫿⫿⫿⫿0 <282080,282165d282165
00011007 0⫿⫿⫿⫿0 >230212a230264
00011263 0⯿⯿⯿⯿0 <282080,282165d282165
00011263 0⯿⯿⯿⯿0 >230464a230517
00011391 0ⱿⱿⱿⱿ0 <282080,282165d282165
00011391 0ⱿⱿⱿⱿ0 >230589a230643
00011519 0⳿⳿⳿⳿0 <282080,282165d282165
00011519 0⳿⳿⳿⳿0 >230711a230766
00011647 0⵿⵿⵿⵿0 <282080,282165d282165
00011647 0⵿⵿⵿⵿0 >230809a230865
00011775 0ⷿⷿⷿⷿ0 <282080,282165d282165
00011775 0ⷿⷿⷿⷿ0 >230919a230976
00012351 0〿〿〿〿0 <282080,282165d282165
00012351 0〿〿〿〿0 >231406a231464
