CodePoint Character PositionChange
00002238 0ࢾࢾࢾࢾ0 <220252,220261d220251
00002238 0ࢾࢾࢾࢾ0 >222472a222415,222424
00002239 0ࢿࢿࢿࢿ0 <220252,220261d220251
00002239 0ࢿࢿࢿࢿ0 >222472a222415,222424
00002240 0ࣀࣀࣀࣀ0 <220252,220261d220251
00002240 0ࣀࣀࣀࣀ0 >222472a222415,222424
00002241 0ࣁࣁࣁࣁ0 <220252,220261d220251
00002241 0ࣁࣁࣁࣁ0 >222472a222415,222424
00002242 0ࣂࣂࣂࣂ0 <220252,220261d220251
00002242 0ࣂࣂࣂࣂ0 >222472a222415,222424
00002243 0ࣃࣃࣃࣃ0 <220252,220261d220251
00002243 0ࣃࣃࣃࣃ0 >222472a222415,222424
00002244 0ࣄࣄࣄࣄ0 <220252,220261d220251
00002244 0ࣄࣄࣄࣄ0 >222472a222415,222424
00002245 0ࣅࣅࣅࣅ0 <220252,220261d220251
00002245 0ࣅࣅࣅࣅ0 >222472a222415,222424
00002246 0ࣆࣆࣆࣆ0 <220252,220261d220251
00002246 0ࣆࣆࣆࣆ0 >222472a222415,222424
00002247 0ࣇࣇࣇࣇ0 <220252,220261d220251
00002247 0ࣇࣇࣇࣇ0 >222472a222415,222424
00002901 0୕୕୕୕0 <220273d220262
00002901 0୕୕୕୕0 >222972a222925
00003332 0ഄഄഄഄ0 <220277,220278d220265
00003332 0ഄഄഄഄ0 >223261a223215
00003457 0ඁඁඁඁ0 <220277,220278d220265
00003457 0ඁඁඁඁ0 >223373a223328
00006847 0ᪿᪿᪿᪿ0 <220283,220284d220269
00006847 0ᪿᪿᪿᪿ0 >226385a226341,226342
00006848 0ᫀᫀᫀᫀ0 <220283,220284d220269
00006848 0ᫀᫀᫀᫀ0 >226385a226341,226342
00011159 0⮗⮗⮗⮗0 <220350d220334
00011159 0⮗⮗⮗⮗0 >230403a230361
00011856 0⹐⹐⹐⹐0 <220353,220355d220336
00011856 0⹐⹐⹐⹐0 >231041a231000,231002
00011857 0⹑⹑⹑⹑0 <220353,220355d220336
00011857 0⹑⹑⹑⹑0 >231041a231000,231002
00011858 0⹒⹒⹒⹒0 <220353,220355d220336
00011858 0⹒⹒⹒⹒0 >231041a231000,231002
00012731 0ㆻㆻㆻㆻ0 <220367,220394d220347
00012731 0ㆻㆻㆻㆻ0 >231810a231772,231775
00012732 0ㆼㆼㆼㆼ0 <220367,220394d220347
00012732 0ㆼㆼㆼㆼ0 >231810a231772,231775
00012733 0ㆽㆽㆽㆽ0 <220367,220394d220347
00012733 0ㆽㆽㆽㆽ0 >231810a231772,231775
00012734 0ㆾㆾㆾㆾ0 <220367,220394d220347
00012734 0ㆾㆾㆾㆾ0 >231810a231772,231775
00012735 0ㆿㆿㆿㆿ0 <220367,220394d220347
00012735 0ㆿㆿㆿㆿ0 >282103a282103
00019894 0䶶䶶䶶䶶0 <220367,220394d220347
00019894 0䶶䶶䶶䶶0 >238952a238918,238926
00019895 0䶷䶷䶷䶷0 <220367,220394d220347
00019895 0䶷䶷䶷䶷0 >238952a238918,238926
00019896 0䶸䶸䶸䶸0 <220367,220394d220347
00019896 0䶸䶸䶸䶸0 >238952a238918,238926
00019897 0䶹䶹䶹䶹0 <220367,220394d220347
00019897 0䶹䶹䶹䶹0 >238952a238918,238926
00019898 0䶺䶺䶺䶺0 <220367,220394d220347
00019898 0䶺䶺䶺䶺0 >238952a238918,238926
00019899 0䶻䶻䶻䶻0 <220367,220394d220347
00019899 0䶻䶻䶻䶻0 >238952a238918,238926
00019900 0䶼䶼䶼䶼0 <220367,220394d220347
00019900 0䶼䶼䶼䶼0 >238952a238918,238926
00019901 0䶽䶽䶽䶽0 <220367,220394d220347
00019901 0䶽䶽䶽䶽0 >238952a238918,238926
00019902 0䶾䶾䶾䶾0 <220367,220394d220347
00019902 0䶾䶾䶾䶾0 >238952a238918,238926
00019903 0䶿䶿䶿䶿0 <220367,220394d220347
00019903 0䶿䶿䶿䶿0 >282100a282099
00040944 0鿰鿰鿰鿰0 <220367,220394d220347
00040944 0鿰鿰鿰鿰0 >259991a259966,259978
00040945 0鿱鿱鿱鿱0 <220367,220394d220347
00040945 0鿱鿱鿱鿱0 >259991a259966,259978
00040946 0鿲鿲鿲鿲0 <220367,220394d220347
00040946 0鿲鿲鿲鿲0 >259991a259966,259978
00040947 0鿳鿳鿳鿳0 <220367,220394d220347
00040947 0鿳鿳鿳鿳0 >259991a259966,259978
00040948 0鿴鿴鿴鿴0 <220367,220394d220347
00040948 0鿴鿴鿴鿴0 >259991a259966,259978
00040949 0鿵鿵鿵鿵0 <220367,220394d220347
00040949 0鿵鿵鿵鿵0 >259991a259966,259978
00040950 0鿶鿶鿶鿶0 <220367,220394d220347
00040950 0鿶鿶鿶鿶0 >259991a259966,259978
00040951 0鿷鿷鿷鿷0 <220367,220394d220347
00040951 0鿷鿷鿷鿷0 >259991a259966,259978
00040952 0鿸鿸鿸鿸0 <220367,220394d220347
00040952 0鿸鿸鿸鿸0 >259991a259966,259978
00040953 0鿹鿹鿹鿹0 <220367,220394d220347
00040953 0鿹鿹鿹鿹0 >259991a259966,259978
00040954 0鿺鿺鿺鿺0 <220367,220394d220347
00040954 0鿺鿺鿺鿺0 >259991a259966,259978
00040955 0鿻鿻鿻鿻0 <220367,220394d220347
00040955 0鿻鿻鿻鿻0 >259991a259966,259978
