CodePoint Character PositionChange
00003191 0౷౷౷౷0 <220276d220275
00003191 0౷౷౷౷0 >223194a223161
00003718 0ຆຆຆຆ0 <220280,220294d220278
00003718 0ຆຆຆຆ0 >223586a223554
00003721 0ຉຉຉຉ0 <220280,220294d220278
00003721 0ຉຉຉຉ0 >223588a223557
00003724 0ຌຌຌຌ0 <220280,220294d220278
00003724 0ຌຌຌຌ0 >223589a223559
00003726 0ຎຎຎຎ0 <220280,220294d220278
00003726 0ຎຎຎຎ0 >223590a223561,223566
00003727 0ຏຏຏຏ0 <220280,220294d220278
00003727 0ຏຏຏຏ0 >223590a223561,223566
00003728 0ຐຐຐຐ0 <220280,220294d220278
00003728 0ຐຐຐຐ0 >223590a223561,223566
00003729 0ຑຑຑຑ0 <220280,220294d220278
00003729 0ຑຑຑຑ0 >223590a223561,223566
00003730 0ຒຒຒຒ0 <220280,220294d220278
00003730 0ຒຒຒຒ0 >223590a223561,223566
00003731 0ຓຓຓຓ0 <220280,220294d220278
00003731 0ຓຓຓຓ0 >223590a223561,223566
00003736 0ຘຘຘຘ0 <220280,220294d220278
00003736 0ຘຘຘຘ0 >223594a223571
00003744 0ຠຠຠຠ0 <220280,220294d220278
00003744 0ຠຠຠຠ0 >223601a223579
00003752 0ຨຨຨຨ0 <220280,220294d220278
00003752 0ຨຨຨຨ0 >223606a223585,223586
00003753 0ຩຩຩຩ0 <220280,220294d220278
00003753 0ຩຩຩຩ0 >223606a223585,223586
00003756 0ຬຬຬຬ0 <220280,220294d220278
00003756 0ຬຬຬຬ0 >223608a223589
00003770 0຺຺຺຺0 <220280,220294d220278
00003770 0຺຺຺຺0 >223621a223603
00007418 0ᳺᳺᳺᳺ0 <220364d220347
00007418 0ᳺᳺᳺᳺ0 >226821a226804
00011209 0⯉⯉⯉⯉0 <220368,220369d220350
00011209 0⯉⯉⯉⯉0 >230469a230453
00011263 0⯿⯿⯿⯿0 <220368,220369d220350
00011263 0⯿⯿⯿⯿0 >282113a282113
00011855 0⹏⹏⹏⹏0 <220372d220352
00011855 0⹏⹏⹏⹏0 >231056a231041
00013055 0㋿㋿㋿㋿0 <220392d220371
00013055 0㋿㋿㋿㋿0 >282103a282102
00042938 0ꞺꞺꞺꞺ0 <220419,220424d220397
00042938 0ꞺꞺꞺꞺ0 >261941a261927,261937
00042939 0ꞻꞻꞻꞻ0 <220419,220424d220397
00042939 0ꞻꞻꞻꞻ0 >261941a261927,261937
00042940 0ꞼꞼꞼꞼ0 <220419,220424d220397
00042940 0ꞼꞼꞼꞼ0 >261941a261927,261937
00042941 0ꞽꞽꞽꞽ0 <220419,220424d220397
00042941 0ꞽꞽꞽꞽ0 >261941a261927,261937
00042942 0ꞾꞾꞾꞾ0 <220419,220424d220397
00042942 0ꞾꞾꞾꞾ0 >261941a261927,261937
00042943 0ꞿꞿꞿꞿ0 <220419,220424d220397
00042943 0ꞿꞿꞿꞿ0 >261941a261927,261937
00042946 0ꟂꟂꟂꟂ0 <220427,220431d220399
00042946 0ꟂꟂꟂꟂ0 >261941a261927,261937
00042947 0ꟃꟃꟃꟃ0 <220427,220431d220399
00042947 0ꟃꟃꟃꟃ0 >261941a261927,261937
00042948 0ꟄꟄꟄꟄ0 <220427,220431d220399
00042948 0ꟄꟄꟄꟄ0 >261941a261927,261937
00042949 0ꟅꟅꟅꟅ0 <220427,220431d220399
00042949 0ꟅꟅꟅꟅ0 >261941a261927,261937
00042950 0ꟆꟆꟆꟆ0 <220427,220431d220399
00042950 0ꟆꟆꟆꟆ0 >261941a261927,261937
00043878 0ꭦꭦꭦꭦ0 <220450,220451d220417
00043878 0ꭦꭦꭦꭦ0 >262698a262695,262696
00043879 0ꭧꭧꭧꭧ0 <220450,220451d220417
00043879 0ꭧꭧꭧꭧ0 >262698a262695,262696
