CodePoint Character PositionChange
0 0 <1,38628d0
0 0 >258826a220199,220564
00000033 0!!!!0 <1,38628d0
00000033 0!!!!0 >258826a220199,220564
00000034 0""""0 <1,38628d0
00000034 0""""0 >258826a220199,220564
00000035 0####0 <1,38628d0
00000035 0####0 >258826a220199,220564
00000036 0$$$$0 <1,38628d0
00000036 0$$$$0 >258826a220199,220564
00000037 0%%%%0 <1,38628d0
00000037 0%%%%0 >258826a220199,220564
00000038 0&&&&0 <1,38628d0
00000038 0&&&&0 >258826a220199,220564
00000039 0''''0 <1,38628d0
00000039 0''''0 >258826a220199,220564
00000040 0((((0 <1,38628d0
00000040 0((((0 >258826a220199,220564
00000041 0))))0 <1,38628d0
00000041 0))))0 >258826a220199,220564
00000042 0****0 <1,38628d0
00000042 0****0 >258826a220199,220564
00000043 0++++0 <1,38628d0
00000043 0++++0 >258826a220199,220564
00000044 0,,,,0 <1,38628d0
00000044 0,,,,0 >258826a220199,220564
00000045 0----0 <1,38628d0
00000045 0----0 >258826a220199,220564
00000046 0....0 <1,38628d0
00000046 0....0 >258826a220199,220564
00000047 0////0 <1,38628d0
00000047 0////0 >258826a220199,220564
00000048 000000 <1,38628d0
00000048 000000 >258826a220199,220564
00000058 0::::0 <1,38628d0
00000058 0::::0 >---
00000059 0;;;;0 <1,38628d0
00000059 0;;;;0 >---
00000060 0<<<<0 <1,38628d0
00000060 0<<<<0 >---
00000061 0====0 <1,38628d0
00000061 0====0 >---
00000062 0>>>>0 <1,38628d0
00000062 0>>>>0 >---
00000063 0????0 <1,38628d0
00000063 0????0 >---
00000064 0@@@@0 <1,38628d0
00000064 0@@@@0 >---
00000066 0BBBB0 <258980,259040d220743
00000066 0BBBB0 >258959a220582,220612
00000067 0CCCC0 <258980,259040d220743
00000067 0CCCC0 >258959a220582,220612
00000068 0DDDD0 <259049,259056d220751
00000068 0DDDD0 >258959a220582,220612
00000069 0EEEE0 <259061,259089d220755
00000069 0EEEE0 >258959a220582,220612
00000070 0FFFF0 <259100,259143d220765
00000070 0FFFF0 >258959a220582,220612
00000071 0GGGG0 <259100,259143d220765
00000071 0GGGG0 >258959a220582,220612
00000072 0HHHH0 <259152,259165d220773
00000072 0HHHH0 >258959a220582,220612
00000073 0IIII0 <259170,259194d220777
00000073 0IIII0 >258959a220582,220612
00000074 0JJJJ0 <259221,259222d220789
00000074 0JJJJ0 >258959a220582,220612
00000075 0KKKK0 <259225,259227d220791
00000075 0KKKK0 >258959a220582,220612
00000076 0LLLL0 <259230,259244c220794
00000076 0LLLL0 >258959a220582,220612
00000077 0MMMM0 <259255,259279d220804
00000077 0MMMM0 >258959a220582,220612
00000078 0NNNN0 <259255,259279d220804
00000078 0NNNN0 >258959a220582,220612
00000079 0OOOO0 <259287,259313c220812,220813
00000079 0OOOO0 >258959a220582,220612
00000080 0PPPP0 <259320,259388c220820,220821
00000080 0PPPP0 >258959a220582,220612
00000081 0QQQQ0 <259320,259388c220820,220821
00000081 0QQQQ0 >258959a220582,220612
00000082 0RRRR0 <259320,259388c220820,220821
00000082 0RRRR0 >258959a220582,220612
00000083 0SSSS0 <259395,259408d220827
00000083 0SSSS0 >258959a220582,220612
00000084 0TTTT0 <259417,259433d220835
00000084 0TTTT0 >258959a220582,220612
00000085 0UUUU0 <259440,259460d220841
00000085 0UUUU0 >258959a220582,220612
00000086 0VVVV0 <259487,259549c221017,221020
00000086 0VVVV0 >258959a220582,220612
00000087 0WWWW0 <259487,259549c221017,221020
00000087 0WWWW0 >258959a220582,220612
00000088 0XXXX0 <259487,259549c221017,221020
00000088 0XXXX0 >258959a220582,220612
00000089 0YYYY0 <259487,259549c221017,221020
00000089 0YYYY0 >258959a220582,220612
00000090 0ZZZZ0 <259552,259574c221023,221028
00000090 0ZZZZ0 >258959a220582,220612
00000091 0[[[[0 <1,38628d0
00000091 0[[[[0 >258959a220582,220612
00000092 0\\\\0 <1,38628d0
00000092 0\\\\0 >258959a220582,220612
00000093 0]]]]0 <1,38628d0
00000093 0]]]]0 >258959a220582,220612
00000094 0^^^^0 <1,38628d0
00000094 0^^^^0 >258959a220582,220612
00000095 0____0 <1,38628d0
00000095 0____0 >258959a220582,220612
00000096 0````0 <1,38628d0
00000096 0````0 >258959a220582,220612
00000098 0bbbb0 <258980,259040d220743
00000098 0bbbb0 >258960a220614,220652
00000099 0cccc0 <258980,259040d220743
00000099 0cccc0 >258960a220614,220652
00000100 0dddd0 <259049,259056d220751
00000100 0dddd0 >258960a220614,220652
00000101 0eeee0 <259061,259089d220755
00000101 0eeee0 >258960a220614,220652
00000102 0ffff0 <259100,259143d220765
00000102 0ffff0 >258960a220614,220652
00000103 0gggg0 <259100,259143d220765
00000103 0gggg0 >258960a220614,220652
00000104 0hhhh0 <259152,259165d220773
00000104 0hhhh0 >258960a220614,220652
00000105 0iiii0 <259170,259194d220777
00000105 0iiii0 >258960a220614,220652
00000106 0jjjj0 <259221,259222d220789
00000106 0jjjj0 >258960a220614,220652
00000107 0kkkk0 <259225,259227d220791
00000107 0kkkk0 >258960a220614,220652
00000108 0llll0 <259230,259244c220794
00000108 0llll0 >258960a220614,220652
00000109 0mmmm0 <259255,259279d220804
00000109 0mmmm0 >258960a220614,220652
00000110 0nnnn0 <259255,259279d220804
00000110 0nnnn0 >258960a220614,220652
00000111 0oooo0 <259287,259313c220812,220813
00000111 0oooo0 >258960a220614,220652
00000112 0pppp0 <259320,259388c220820,220821
00000112 0pppp0 >258960a220614,220652
00000113 0qqqq0 <259320,259388c220820,220821
00000113 0qqqq0 >258960a220614,220652
00000114 0rrrr0 <259320,259388c220820,220821
00000114 0rrrr0 >258960a220614,220652
00000115 0ssss0 <259395,259408d220827
00000115 0ssss0 >258960a220614,220652
00000116 0tttt0 <259417,259433d220835
00000116 0tttt0 >258960a220614,220652
00000117 0uuuu0 <259440,259460d220841
00000117 0uuuu0 >258960a220614,220652
00000118 0vvvv0 <259487,259549c221017,221020
00000118 0vvvv0 >258960a220614,220652
00000119 0wwww0 <259487,259549c221017,221020
00000119 0wwww0 >258960a220614,220652
00000120 0xxxx0 <259487,259549c221017,221020
00000120 0xxxx0 >258960a220614,220652
00000121 0yyyy0 <259487,259549c221017,221020
00000121 0yyyy0 >258960a220614,220652
00000122 0zzzz0 <259552,259574c221023,221028
00000122 0zzzz0 >258960a220614,220652
00000123 0{{{{0 <1,38628d0
00000123 0{{{{0 >258960a220614,220652
00000124 0||||0 <1,38628d0
00000124 0||||0 >258960a220614,220652
00000125 0}}}}0 <1,38628d0
00000125 0}}}}0 >258960a220614,220652
00000126 0~~~~0 <1,38628d0
00000126 0~~~~0 >258960a220614,220652
00000160 0    0 <260717,261263c229106,239042
00000160 0    0 >258960a220614,220652
00000161 0¡¡¡¡0 <1,38628d0
00000161 0¡¡¡¡0 >258960a220614,220652
00000162 0¢¢¢¢0 <1,38628d0
00000162 0¢¢¢¢0 >258960a220614,220652
00000163 0££££0 <1,38628d0
00000163 0££££0 >258960a220614,220652
00000164 0¤¤¤¤0 <1,38628d0
00000164 0¤¤¤¤0 >258960a220614,220652
00000165 0¥¥¥¥0 <1,38628d0
00000165 0¥¥¥¥0 >258960a220614,220652
00000166 0¦¦¦¦0 <1,38628d0
00000166 0¦¦¦¦0 >258960a220614,220652
00000167 0§§§§0 <1,38628d0
00000167 0§§§§0 >258960a220614,220652
00000168 0¨¨¨¨0 <1,38628d0
00000168 0¨¨¨¨0 >258960a220614,220652
00000169 0©©©©0 <1,38628d0
00000169 0©©©©0 >258960a220614,220652
00000171 0««««0 <1,38628d0
00000171 0««««0 >258961a220654,220674
00000172 0¬¬¬¬0 <1,38628d0
00000172 0¬¬¬¬0 >258961a220654,220674
00000173 0­­­­0 <1,38628d0
00000173 0­­­­0 >258961a220654,220674
00000174 0®®®®0 <1,38628d0
00000174 0®®®®0 >258961a220654,220674
00000175 0¯¯¯¯0 <1,38628d0
00000175 0¯¯¯¯0 >258961a220654,220674
00000176 0°°°°0 <1,38628d0
00000176 0°°°°0 >258961a220654,220674
00000177 0±±±±0 <1,38628d0
00000177 0±±±±0 >258961a220654,220674
00000178 0²²²²0 <258844,258858d220566
00000178 0²²²²0 >258961a220654,220674
00000179 0³³³³0 <258860,258874d220567
00000179 0³³³³0 >258961a220654,220674
00000180 0´´´´0 <1,38628d0
00000180 0´´´´0 >258961a220654,220674
