CodePoint Character PositionChange
00003851 0་་་་0 <1687d1688
00003851 0་་་་0 >260284a260198,260284
00003872 0༠༠༠༠0 >15a16,17
00003872 0༠༠༠༠0 <1708,1727d1708
00003873 0༡༡༡༡0 <1708,1727d1708
00003873 0༡༡༡༡0 >258945a258841,258842
00003874 0༢༢༢༢0 <1708,1727d1708
00003874 0༢༢༢༢0 >258959a258857,258858
00003875 0༣༣༣༣0 <1708,1727d1708
00003875 0༣༣༣༣0 >258973a258873,258874
00003876 0༤༤༤༤0 <1708,1727d1708
00003876 0༤༤༤༤0 >258984a258886,258887
00003877 0༥༥༥༥0 <1708,1727d1708
00003877 0༥༥༥༥0 >258996a258900,258901
00003878 0༦༦༦༦0 <1708,1727d1708
00003878 0༦༦༦༦0 >259008a258914,258915
00003879 0༧༧༧༧0 <1708,1727d1708
00003879 0༧༧༧༧0 >259020a258928,258929
00003880 0༨༨༨༨0 <1708,1727d1708
00003880 0༨༨༨༨0 >259032a258942,258943
00003881 0༩༩༩༩0 <1708,1727d1708
00003881 0༩༩༩༩0 >259044a258956,258957
00003882 0༪༪༪༪0 <1708,1727d1708
00003882 0༪༪༪༪0 >258945a258841,258842
00003883 0༫༫༫༫0 <1708,1727d1708
00003883 0༫༫༫༫0 >258959a258857,258858
00003884 0༬༬༬༬0 <1708,1727d1708
00003884 0༬༬༬༬0 >258973a258873,258874
00003885 0༭༭༭༭0 <1708,1727d1708
00003885 0༭༭༭༭0 >258984a258886,258887
00003886 0༮༮༮༮0 <1708,1727d1708
00003886 0༮༮༮༮0 >258996a258900,258901
00003887 0༯༯༯༯0 <1708,1727d1708
00003887 0༯༯༯༯0 >259008a258914,258915
00003888 0༰༰༰༰0 <1708,1727d1708
00003888 0༰༰༰༰0 >259020a258928,258929
00003889 0༱༱༱༱0 <1708,1727d1708
00003889 0༱༱༱༱0 >259032a258942,258943
00003890 0༲༲༲༲0 <1708,1727d1708
00003890 0༲༲༲༲0 >259044a258956,258957
00003891 0༳༳༳༳0 >15a16,17
00003891 0༳༳༳༳0 <1708,1727d1708
00003904 0ཀཀཀཀ0 <1740,1742d1720
00003904 0ཀཀཀཀ0 >260284a260198,260284
00003905 0ཁཁཁཁ0 <1740,1742d1720
00003905 0ཁཁཁཁ0 >260284a260198,260284
00003906 0གགགག0 <1740,1742d1720
00003906 0གགགག0 >260284a260198,260284
00003908 0ངངངང0 <1744,1751d1721
00003908 0ངངངང0 >260284a260198,260284
00003909 0ཅཅཅཅ0 <1744,1751d1721
00003909 0ཅཅཅཅ0 >260284a260198,260284
00003910 0ཆཆཆཆ0 <1744,1751d1721
00003910 0ཆཆཆཆ0 >260284a260198,260284
00003911 0ཇཇཇཇ0 <1744,1751d1721
00003911 0ཇཇཇཇ0 >260284a260198,260284
00003913 0ཉཉཉཉ0 <1744,1751d1721
00003913 0ཉཉཉཉ0 >260284a260198,260284
00003914 0ཊཊཊཊ0 <1744,1751d1721
00003914 0ཊཊཊཊ0 >260284a260198,260284
00003915 0ཋཋཋཋ0 <1744,1751d1721
00003915 0ཋཋཋཋ0 >260284a260198,260284
00003916 0ཌཌཌཌ0 <1744,1751d1721
00003916 0ཌཌཌཌ0 >260284a260198,260284
00003918 0ཎཎཎཎ0 <1753,1756d1722
00003918 0ཎཎཎཎ0 >260284a260198,260284
00003919 0ཏཏཏཏ0 <1753,1756d1722
00003919 0ཏཏཏཏ0 >260284a260198,260284
00003920 0ཐཐཐཐ0 <1753,1756d1722
00003920 0ཐཐཐཐ0 >260284a260198,260284
00003921 0དདདད0 <1753,1756d1722
00003921 0དདདད0 >260284a260198,260284
00003923 0ནནནན0 <1758,1761d1723
00003923 0ནནནན0 >260284a260198,260284
00003924 0པཔཔཔ0 <1758,1761d1723
00003924 0པཔཔཔ0 >260284a260198,260284
00003925 0ཕཕཕཕ0 <1758,1761d1723
00003925 0ཕཕཕཕ0 >260284a260198,260284
00003926 0བབབབ0 <1758,1761d1723
00003926 0བབབབ0 >260284a260198,260284
00003928 0མམམམ0 <1763,1766d1724
00003928 0མམམམ0 >260284a260198,260284
00003929 0ཙཙཙཙ0 <1763,1766d1724
00003929 0ཙཙཙཙ0 >260284a260198,260284
00003930 0ཚཚཚཚ0 <1763,1766d1724
00003930 0ཚཚཚཚ0 >260284a260198,260284
00003931 0ཛཛཛཛ0 <1763,1766d1724
00003931 0ཛཛཛཛ0 >260284a260198,260284
00003933 0ཝཝཝཝ0 <1768,1779d1725
00003933 0ཝཝཝཝ0 >260284a260198,260284
00003934 0ཞཞཞཞ0 <1768,1779d1725
00003934 0ཞཞཞཞ0 >260284a260198,260284
00003935 0ཟཟཟཟ0 <1768,1779d1725
00003935 0ཟཟཟཟ0 >260284a260198,260284
00003936 0འའའའ0 <1768,1779d1725
00003936 0འའའའ0 >260284a260198,260284
00003937 0ཡཡཡཡ0 <1768,1779d1725
00003937 0ཡཡཡཡ0 >260284a260198,260284
00003938 0རརརར0 <1768,1779d1725
00003938 0རརརར0 >260284a260198,260284
00003939 0ལལལལ0 <1768,1779d1725
00003939 0ལལལལ0 >260284a260198,260284
00003940 0ཤཤཤཤ0 <1768,1779d1725
00003940 0ཤཤཤཤ0 >260284a260198,260284
00003941 0ཥཥཥཥ0 <1768,1779d1725
00003941 0ཥཥཥཥ0 >260284a260198,260284
00003942 0སསསས0 <1768,1779d1725
00003942 0སསསས0 >260284a260198,260284
00003943 0ཧཧཧཧ0 <1768,1779d1725
00003943 0ཧཧཧཧ0 >260284a260198,260284
00003944 0ཨཨཨཨ0 <1768,1779d1725
00003944 0ཨཨཨཨ0 >260284a260198,260284
00003946 0ཪཪཪཪ0 <1781d1726
00003946 0ཪཪཪཪ0 >260284a260198,260284
00003953 0ཱཱཱཱ0 <1784,1785d1728
00003953 0ཱཱཱཱ0 >260284a260198,260284
00003954 0ིིིི0 <1784,1785d1728
00003954 0ིིིི0 >260284a260198,260284
00003956 0ུུུུ0 <1787d1729
00003956 0ུུུུ0 >260284a260198,260284
00003962 0ེེེེ0 <1793,1797d1734
00003962 0ེེེེ0 >260284a260198,260284
00003963 0ཻཻཻཻ0 <1793,1797d1734
00003963 0ཻཻཻཻ0 >260284a260198,260284
00003964 0ོོོོ0 <1793,1797d1734
00003964 0ོོོོ0 >260284a260198,260284
00003965 0ཽཽཽཽ0 <1793,1797d1734
00003965 0ཽཽཽཽ0 >260284a260198,260284
00003966 0ཾཾཾཾ0 <1793,1797d1734
00003966 0ཾཾཾཾ0 >260284a260198,260284
00003968 0ྀྀྀྀ0 <1799d1735
00003968 0ྀྀྀྀ0 >260284a260198,260284
00003970 0ྂྂྂྂ0 <1801,1803d1736
00003970 0ྂྂྂྂ0 >260284a260198,260284
00003971 0ྃྃྃྃ0 <1801,1803d1736
00003971 0ྃྃྃྃ0 >260284a260198,260284
00003972 0྄྄྄྄0 <1801,1803d1736
00003972 0྄྄྄྄0 >260284a260198,260284
00003984 0ྐྐྐྐ0 <1815,1817d1747
00003984 0ྐྐྐྐ0 >260284a260198,260284
00003985 0ྑྑྑྑ0 <1815,1817d1747
00003985 0ྑྑྑྑ0 >260284a260198,260284
00003986 0ྒྒྒྒ0 <1815,1817d1747
00003986 0ྒྒྒྒ0 >260284a260198,260284
00003988 0ྔྔྔྔ0 <1819,1826d1748
00003988 0ྔྔྔྔ0 >260284a260198,260284
00003989 0ྕྕྕྕ0 <1819,1826d1748
00003989 0ྕྕྕྕ0 >260284a260198,260284
00003990 0ྖྖྖྖ0 <1819,1826d1748
00003990 0ྖྖྖྖ0 >260284a260198,260284
00003991 0ྗྗྗྗ0 <1819,1826d1748
00003991 0ྗྗྗྗ0 >260284a260198,260284
00003993 0ྙྙྙྙ0 <1819,1826d1748
00003993 0ྙྙྙྙ0 >260284a260198,260284
00003994 0ྚྚྚྚ0 <1819,1826d1748
00003994 0ྚྚྚྚ0 >260284a260198,260284
00003995 0ྛྛྛྛ0 <1819,1826d1748
00003995 0ྛྛྛྛ0 >260284a260198,260284
00003996 0ྜྜྜྜ0 <1819,1826d1748
00003996 0ྜྜྜྜ0 >260284a260198,260284
00003998 0ྞྞྞྞ0 <1828,1831d1749
00003998 0ྞྞྞྞ0 >260284a260198,260284
00003999 0ྟྟྟྟ0 <1828,1831d1749
00003999 0ྟྟྟྟ0 >260284a260198,260284
00004000 0ྠྠྠྠ0 <1828,1831d1749
00004000 0ྠྠྠྠ0 >260284a260198,260284
00004001 0ྡྡྡྡ0 <1828,1831d1749
00004001 0ྡྡྡྡ0 >260284a260198,260284
00004003 0ྣྣྣྣ0 <1833,1836d1750
00004003 0ྣྣྣྣ0 >260284a260198,260284
00004004 0ྤྤྤྤ0 <1833,1836d1750
00004004 0ྤྤྤྤ0 >260284a260198,260284
00004005 0ྥྥྥྥ0 <1833,1836d1750
00004005 0ྥྥྥྥ0 >260284a260198,260284
00004006 0ྦྦྦྦ0 <1833,1836d1750
00004006 0ྦྦྦྦ0 >260284a260198,260284
00004008 0ྨྨྨྨ0 <1838,1841d1751
00004008 0ྨྨྨྨ0 >260284a260198,260284
00004009 0ྩྩྩྩ0 <1838,1841d1751
00004009 0ྩྩྩྩ0 >260284a260198,260284
00004010 0ྪྪྪྪ0 <1838,1841d1751
00004010 0ྪྪྪྪ0 >260284a260198,260284
00004011 0ྫྫྫྫ0 <1838,1841d1751
00004011 0ྫྫྫྫ0 >260284a260198,260284
00004013 0ྭྭྭྭ0 <1843,1854d1752
00004013 0ྭྭྭྭ0 >260284a260198,260284
00004014 0ྮྮྮྮ0 <1843,1854d1752
00004014 0ྮྮྮྮ0 >260284a260198,260284
00004015 0ྯྯྯྯ0 <1843,1854d1752
00004015 0ྯྯྯྯ0 >260284a260198,260284
00004016 0ྰྰྰྰ0 <1843,1854d1752
00004016 0ྰྰྰྰ0 >260284a260198,260284
00004017 0ྱྱྱྱ0 <1843,1854d1752
00004017 0ྱྱྱྱ0 >260284a260198,260284
00004018 0ྲྲྲྲ0 <1843,1854d1752
00004018 0ྲྲྲྲ0 >260284a260198,260284
00004019 0ླླླླ0 <1843,1854d1752
00004019 0ླླླླ0 >260284a260198,260284
00004020 0ྴྴྴྴ0 <1843,1854d1752
00004020 0ྴྴྴྴ0 >260284a260198,260284
00004021 0ྵྵྵྵ0 <1843,1854d1752
00004021 0ྵྵྵྵ0 >260284a260198,260284
00004022 0ྶྶྶྶ0 <1843,1854d1752
00004022 0ྶྶྶྶ0 >260284a260198,260284
00004023 0ྷྷྷྷ0 <1843,1854d1752
00004023 0ྷྷྷྷ0 >260284a260198,260284
00004024 0ྸྸྸྸ0 <1843,1854d1752
00004024 0ྸྸྸྸ0 >260284a260198,260284
00004026 0ྺྺྺྺ0 <1856,1858d1753
00004026 0ྺྺྺྺ0 >260284a260198,260284
00004027 0ྻྻྻྻ0 <1856,1858d1753
00004027 0ྻྻྻྻ0 >260284a260198,260284
00004028 0ྼྼྼྼ0 <1856,1858d1753
00004028 0ྼྼྼྼ0 >260284a260198,260284
