# builtin	architecture	locale	md5	date	sort_ms	postgresql
14	x86_64	C	6f81f755c83c00057888f2f64ece6a1b	2026-08-11	13308.715	14.23
14	x86_64	ucs_basic	6f81f755c83c00057888f2f64ece6a1b	2026-08-11	16692.731	14.23
15	x86_64	C	6f81f755c83c00057888f2f64ece6a1b	2026-08-11	14569.585	15.18
15	x86_64	ucs_basic	6f81f755c83c00057888f2f64ece6a1b	2026-08-11	11507.868	15.18
16	x86_64	C	6f81f755c83c00057888f2f64ece6a1b	2026-08-11	11709.117	16.14
16	x86_64	ucs_basic	6f81f755c83c00057888f2f64ece6a1b	2026-08-11	10439.286	16.14
17	x86_64	C	6f81f755c83c00057888f2f64ece6a1b	2026-08-11	11264.486	17.10
17	x86_64	ucs_basic	6f81f755c83c00057888f2f64ece6a1b	2026-08-11	11027.736	17.10
17	x86_64	pg_c_utf8	6f81f755c83c00057888f2f64ece6a1b	2026-08-11	11103.616	17.10
18	x86_64	C	6f81f755c83c00057888f2f64ece6a1b	2026-08-11	15041.093	18.4
18	x86_64	ucs_basic	6f81f755c83c00057888f2f64ece6a1b	2026-08-11	19958.575	18.4
18	x86_64	pg_c_utf8	6f81f755c83c00057888f2f64ece6a1b	2026-08-11	15052.563	18.4
18	x86_64	pg_unicode_fast	6f81f755c83c00057888f2f64ece6a1b	2026-08-11	15135.329	18.4
19	x86_64	C	6f81f755c83c00057888f2f64ece6a1b	2026-08-11	14257.420	19beta2
19	x86_64	ucs_basic	6f81f755c83c00057888f2f64ece6a1b	2026-08-11	14001.265	19beta2
19	x86_64	pg_c_utf8	6f81f755c83c00057888f2f64ece6a1b	2026-08-11	19722.296	19beta2
19	x86_64	pg_unicode_fast	6f81f755c83c00057888f2f64ece6a1b	2026-08-11	14086.603	19beta2
