# debian	architecture	language	engine	md5	date	sort_ms	libc	icu
7	x86_64	ar	glibc	4dcc39cd038d9764b4292c5c9e81311b	2026-08-06	381311.152	2.13-38+deb7u12	4.8.1.1-12+deb7u7
7	x86_64	de	glibc	262b83b97f4ac3310d7ce04138448c98	2026-08-06	391200.635	2.13-38+deb7u12	4.8.1.1-12+deb7u7
7	x86_64	en	glibc	4dcc39cd038d9764b4292c5c9e81311b	2026-08-06	381823.662	2.13-38+deb7u12	4.8.1.1-12+deb7u7
7	x86_64	es	glibc	bbe613f3e47b129e65270b650f943515	2026-08-06	397046.177	2.13-38+deb7u12	4.8.1.1-12+deb7u7
7	x86_64	fr	glibc	4dcc39cd038d9764b4292c5c9e81311b	2026-08-06	289696.161	2.13-38+deb7u12	4.8.1.1-12+deb7u7
7	x86_64	ja	glibc	d035d64cf99fe9b8770556479d72fd4b	2026-08-06	726759.927	2.13-38+deb7u12	4.8.1.1-12+deb7u7
7	x86_64	ko	glibc	d19baaa641a4d72b5bb20d78e9a59c8b	2026-08-06	1085730.214	2.13-38+deb7u12	4.8.1.1-12+deb7u7
7	x86_64	ru	glibc	498ac9ddf8c38e57c0155abd5c45bc93	2026-08-06	310957.194	2.13-38+deb7u12	4.8.1.1-12+deb7u7
7	x86_64	zh	glibc	727a27394cc70b4a810c209757d65ce0	2026-08-06	939513.204	2.13-38+deb7u12	4.8.1.1-12+deb7u7
8	x86_64	ar	glibc	5ae07fe493d95a5ed7115996348c6a9f	2026-08-06	394219.499	2.19-18+deb8u10	52.1-8+deb8u8
8	x86_64	de	glibc	ac96145f854f08e2c487c14feb00f6ea	2026-08-06	401530.123	2.19-18+deb8u10	52.1-8+deb8u8
8	x86_64	en	glibc	5ae07fe493d95a5ed7115996348c6a9f	2026-08-06	399274.926	2.19-18+deb8u10	52.1-8+deb8u8
8	x86_64	es	glibc	afa3c84396cef084199e90b93ad4554e	2026-08-06	402719.132	2.19-18+deb8u10	52.1-8+deb8u8
8	x86_64	fr	glibc	5ae07fe493d95a5ed7115996348c6a9f	2026-08-06	384758.259	2.19-18+deb8u10	52.1-8+deb8u8
8	x86_64	ja	glibc	d035d64cf99fe9b8770556479d72fd4b	2026-08-06	793070.799	2.19-18+deb8u10	52.1-8+deb8u8
8	x86_64	ko	glibc	d19baaa641a4d72b5bb20d78e9a59c8b	2026-08-06	1070907.332	2.19-18+deb8u10	52.1-8+deb8u8
8	x86_64	ru	glibc	f02b3a81adc9e2b975c888ca32f46e6c	2026-08-06	383733.308	2.19-18+deb8u10	52.1-8+deb8u8
8	x86_64	zh	glibc	e18ca4c3d43f5d79e09e825c6841d492	2026-08-06	903737.646	2.19-18+deb8u10	52.1-8+deb8u8
9	x86_64	ar	glibc	8c7a8f1d7d7cdefa084362cf47b327bf	2026-08-06	1062050.441	2.24-11+deb9u4	57.1-6+deb9u5
9	x86_64	de	glibc	8d4488ebba91754c29f1067bc3797d80	2026-08-06	1107861.669	2.24-11+deb9u4	57.1-6+deb9u5
9	x86_64	en	glibc	8c7a8f1d7d7cdefa084362cf47b327bf	2026-08-06	885815.359	2.24-11+deb9u4	57.1-6+deb9u5
9	x86_64	es	glibc	a4452636d4cccab3fb92b48645a89225	2026-08-06	1139203.890	2.24-11+deb9u4	57.1-6+deb9u5
9	x86_64	fr	glibc	8c7a8f1d7d7cdefa084362cf47b327bf	2026-08-06	1062536.644	2.24-11+deb9u4	57.1-6+deb9u5
9	x86_64	ja	glibc	d035d64cf99fe9b8770556479d72fd4b	2026-08-06	727018.750	2.24-11+deb9u4	57.1-6+deb9u5
9	x86_64	ko	glibc	d19baaa641a4d72b5bb20d78e9a59c8b	2026-08-06	1039894.700	2.24-11+deb9u4	57.1-6+deb9u5
9	x86_64	ru	glibc	86a06c6b7790df5ab8175eab27b7a3b3	2026-08-06	1136103.374	2.24-11+deb9u4	57.1-6+deb9u5
9	x86_64	zh	glibc	d3f8b6594ba8afc6459d630286b1f574	2026-08-06	5184274.121	2.24-11+deb9u4	57.1-6+deb9u5
10	x86_64	ar	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-06	7347304.617	2.28-10+deb10u4	63.1-6+deb10u3
10	x86_64	ar	icu	4ff5705381b478574f7fe09796440a9a	2026-08-06	25277.435	2.28-10+deb10u4	63.1-6+deb10u3
10	x86_64	de	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-06	7349122.908	2.28-10+deb10u4	63.1-6+deb10u3
10	x86_64	de	icu	19a49d30d810cf8ce61aa522f2685a88	2026-08-06	24771.994	2.28-10+deb10u4	63.1-6+deb10u3
10	x86_64	en	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-06	7348999.830	2.28-10+deb10u4	63.1-6+deb10u3
10	x86_64	en	icu	19a49d30d810cf8ce61aa522f2685a88	2026-08-06	24318.413	2.28-10+deb10u4	63.1-6+deb10u3
10	x86_64	es	glibc	26f199a37d7ad3dc6ec4f0747eac6006	2026-08-06	6790272.041	2.28-10+deb10u4	63.1-6+deb10u3
10	x86_64	es	icu	4b21a828fbf7b4ca9782cdc22e7ff735	2026-08-06	24660.242	2.28-10+deb10u4	63.1-6+deb10u3
10	x86_64	fr	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-06	6970578.841	2.28-10+deb10u4	63.1-6+deb10u3
10	x86_64	fr	icu	19a49d30d810cf8ce61aa522f2685a88	2026-08-06	25362.790	2.28-10+deb10u4	63.1-6+deb10u3
10	x86_64	ja	glibc	d035d64cf99fe9b8770556479d72fd4b	2026-08-06	687129.488	2.28-10+deb10u4	63.1-6+deb10u3
10	x86_64	ja	icu	bff4f748d8e0b44dd52118754ec4128a	2026-08-06	23703.124	2.28-10+deb10u4	63.1-6+deb10u3
10	x86_64	ko	glibc	d19baaa641a4d72b5bb20d78e9a59c8b	2026-08-06	842682.899	2.28-10+deb10u4	63.1-6+deb10u3
10	x86_64	ko	icu	49ca87ce1f8e948061970be008d05168	2026-08-06	22056.675	2.28-10+deb10u4	63.1-6+deb10u3
10	x86_64	ru	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-06	7821148.754	2.28-10+deb10u4	63.1-6+deb10u3
10	x86_64	ru	icu	3eca86f52b97882f5b7c3de43a6bcd95	2026-08-06	24848.186	2.28-10+deb10u4	63.1-6+deb10u3
10	x86_64	zh	glibc	60f4f31bb45097d42d42238592294f77	2026-08-06	8735903.049	2.28-10+deb10u4	63.1-6+deb10u3
10	x86_64	zh	icu	48aefc3d71c94b81b75f33312ad95533	2026-08-07	25028.701	2.28-10+deb10u4	63.1-6+deb10u3
11	x86_64	ar	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-06	7577614.833	2.31-13+deb11u14	67.1-7+deb11u1
11	x86_64	ar	icu	0eb9e12612126a4ed637bef6a8ec1d45	2026-08-06	21594.451	2.31-13+deb11u14	67.1-7+deb11u1
11	x86_64	de	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-06	6488924.577	2.31-13+deb11u14	67.1-7+deb11u1
11	x86_64	de	icu	d09ddc8dc309750f9d1f31fbe7f5617e	2026-08-06	16766.996	2.31-13+deb11u14	67.1-7+deb11u1
11	x86_64	en	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-06	8364791.619	2.31-13+deb11u14	67.1-7+deb11u1
11	x86_64	en	icu	d09ddc8dc309750f9d1f31fbe7f5617e	2026-08-06	22122.833	2.31-13+deb11u14	67.1-7+deb11u1
